Geneid	F1_1	F1_2	F1_3	ND_1	ND_2	ND_3
cac	5002	5055	5098	4598	5077	4850
Cngl	4590	4478	4353	4464	4294	4531
CG11836	82	82	81	68	79	70
CG33096	25	22	27	17	32	28
bam	0	0	0	0	0	0
sisRNA:CR46364	15	21	18	16	20	14
CG5890	1026	878	819	1064	968	1081
CG17189	566	593	721	634	693	698
CG11951	729	664	587	803	756	810
dco	2503	2522	2555	2299	2593	2552
mir-10404-3	0	0	0	0	0	0
mir-10404-4	0	0	0	0	0	0
mir-10404-5	0	0	0	0	0	0
CG32809	3286	3264	3393	3205	3232	3605
CG3078	749	770	692	754	759	749
fd3F	7	4	8	3	7	13
lncRNA:CR46349	5	12	7	10	9	5
CG43689	438	520	414	443	501	471
ctp	16050	15437	13807	15380	14519	13305
CG9650	433	450	404	452	466	473
ct	2980	3085	2976	2805	2959	2829
oc	902	1062	829	849	888	887
CG12662	16	17	50	13	7	15
mei-P26	14619	13314	17111	12675	12446	13226
CG1354	1450	1357	1399	1338	1378	1310
CG17841	5536	5914	5935	5762	6135	6165
flw	5385	5259	5439	5595	5579	5060
ras	1941	2145	1925	2185	2252	2157
sbr	2319	2250	1942	2179	2230	2284
5PtaseI	907	886	964	1019	949	1007
Nmnat	570	615	676	552	573	568
CG31145	4183	3976	3620	4064	4060	3758
CASK	3522	3548	2167	3549	3726	3588
CG17279	264	232	231	272	233	216
Syp	11201	9619	9617	10863	10161	11147
CG4367	1	0	0	0	0	0
CG31122	902	915	1009	895	946	962
CG46383	0	0	0	0	0	0
CG31088	0	0	0	0	0	0
lncRNA:CR46153	4	4	1	3	4	1
lncRNA:CR46030	0	0	1	1	0	0
lncRNA:CR46024	0	0	0	0	0	0
lncRNA:CR46267	0	0	0	0	0	0
asRNA:CR46034	0	0	0	0	0	0
lncRNA:CR46052	0	0	0	0	0	0
lncRNA:CR46053	0	0	0	0	0	0
mir-10404-2	0	0	0	0	0	0
mir-10404-1	0	0	0	0	0	0
mir-11182	1	0	0	0	0	0
mir-4966-2	0	0	0	0	0	0
hpRNA:CR46342	2	4	2	5	8	9
hpRNA:1	0	0	0	0	0	0
hpRNA:CR46340	0	0	0	0	0	0
lncRNA:CR46337	0	0	0	0	0	0
hpRNA:CR32205	0	0	0	1	0	0
lncRNA:CR46336	0	1	1	0	0	0
lncRNA:TS27	0	0	0	0	0	0
lncRNA:TS26	0	0	0	0	0	0
lncRNA:TS25	0	0	0	0	0	0
lncRNA:TS20	0	4	0	0	1	1
lncRNA:TS9	0	0	0	0	1	0
lncRNA:TS6	0	0	0	1	0	1
lncRNA:CR46328	0	0	0	1	0	0
lncRNA:TS4	0	0	0	0	0	0
lncRNA:CR46326	0	0	0	0	0	0
lncRNA:TS3	0	0	0	0	0	0
lncRNA:TS2	0	0	0	0	0	0
lncRNA:TS1	0	0	0	0	0	0
pre-rRNA:CR45856	31	144	188	217	181	157
asRNA:CR44019	7	10	4	4	8	11
hpRNA:CR33940	14	13	20	11	18	19
hpRNA:CR32207	1	2	6	3	1	4
hpRNA:CR18854	3487	3324	3386	3362	3719	3658
lncRNA:CR46322	3	2	3	2	1	3
mir-9388	0	1	0	0	0	0
lncRNA:CR46299	0	0	0	0	0	0
mir-9383	0	0	0	0	0	0
mir-9374	0	0	0	0	0	0
mir-9380	0	0	0	0	0	0
mir-9377	0	0	0	0	0	0
mir-9375	0	0	0	0	0	0
mir-9385	0	1	0	1	0	0
mir-9369	0	0	0	0	0	0
mir-9373	0	0	0	0	0	0
mir-9379	0	0	0	0	0	0
mir-9371	0	0	0	0	0	0
mir-9370	0	0	0	0	0	0
mir-9378	9	3	13	3	4	8
mir-9382	10	13	9	10	16	14
mir-9372	0	0	0	0	0	0
mir-9381	3	6	4	6	9	5
mir-9376	4	1	5	7	6	5
mir-9384	0	0	0	0	0	0
lncRNA:CR46148	0	0	0	0	0	0
lncRNA:CR45363	8	7	1	4	7	5
lncRNA:CR45334	1	0	0	0	1	0
lncRNA:CR45236	0	0	2	0	0	0
lncRNA:CR44801	0	0	0	0	0	0
lncRNA:CR44601	0	0	0	0	0	0
lncRNA:CR44414	0	0	0	0	0	0
lncRNA:CR42790	2	0	0	2	0	3
lncRNA:noe	86332	90321	102423	65206	69834	67335
lncRNA:CR32553	23	29	18	35	24	17
lncRNA:CR31526	1	0	0	0	0	1
lncRNA:CR14310	3	4	5	1	2	1
28SrRNA:CR45844	0	0	0	0	0	0
2SrRNA:CR45843	0	0	0	0	0	0
5.8SrRNA:CR45842	0	0	0	0	0	0
18SrRNA:CR45841	0	0	0	0	0	0
pre-rRNA:CR45847	0	0	0	0	0	0
2SrRNA:CR45840	0	0	0	0	0	0
5.8SrRNA:CR45839	0	0	0	0	0	0
18SrRNA:CR45838	0	0	0	0	0	0
pre-rRNA:CR45846	0	0	0	0	0	0
28SrRNA:CR45837	0	0	0	0	0	0
2SrRNA:CR45836	0	0	0	0	0	0
5.8SrRNA:CR45852	0	0	0	0	0	0
18SrRNA:CR41548	0	0	0	0	0	0
pre-rRNA:CR45845	0	0	0	0	0	0
Su(Ste):CR45796	0	0	0	0	0	0
Su(Ste):CR45794	0	0	0	0	0	0
Su(Ste):CR45795	0	0	0	0	0	0
2SrRNA:CR45864	0	0	0	0	0	0
5.8SrRNA:CR40454	0	0	0	0	0	0
lncRNA:flam	2	1	4	0	1	3
lncRNA:CR43193	1	1	0	0	0	0
lncRNA:CR46147	0	0	0	0	0	0
lncRNA:CR46211	0	0	0	0	0	0
lncRNA:CR32582	33	11	26	16	19	23
lncRNA:CR45523	0	0	0	0	0	0
lncRNA:CR43132	0	0	0	0	1	0
asRNA:CR45995	0	0	0	0	0	0
lncRNA:CR46242	1	0	0	1	0	0
lncRNA:CR32636	9	11	20	15	13	20
lncRNA:CR32652	3	0	1	1	2	2
asRNA:CR46195	1	0	0	1	1	0
lncRNA:CR43695	0	0	0	0	0	0
lncRNA:CR43278	1	0	2	0	2	1
lncRNA:CR46245	3	1	5	3	1	2
lncRNA:CR45792	1	2	2	2	0	0
lncRNA:CR45484	1	1	0	0	1	0
lncRNA:CR46156	4	2	5	3	2	3
lncRNA:CR44957	17	20	29	22	26	19
lncRNA:CR46247	0	0	0	0	0	0
lncRNA:CR46119	0	0	0	0	0	0
lncRNA:CR34335	16834	18993	24668	16447	18329	14420
lncRNA:CR46120	0	0	0	0	0	0
lncRNA:CR46243	0	0	0	0	0	2
lncRNA:CR46118	0	0	0	0	0	0
lncRNA:CR45197	0	0	0	0	0	0
RNaseP:RNA	119	158	169	124	174	118
asRNA:CR45929	0	0	0	0	0	0
lncRNA:CR46207	4	0	2	1	4	4
lncRNA:CR46248	0	0	0	1	0	0
lncRNA:CR46117	1	0	1	0	2	1
asRNA:CR45797	0	0	0	0	0	0
lncRNA:CR46116	0	0	0	1	0	0
asRNA:CR46065	18	20	24	20	21	31
lncRNA:CR46220	0	0	0	0	0	0
lncRNA:CR46219	1	0	2	1	1	1
lncRNA:CR46115	1	1	0	1	1	1
lncRNA:CR46236	0	0	0	0	0	0
lncRNA:CR46114	0	0	1	0	0	0
lncRNA:CR46113	1	1	0	0	0	1
asRNA:CR46082	1	0	2	1	0	1
lncRNA:CR46112	5	7	2	3	3	4
lncRNA:CR46111	1	1	2	0	1	0
lncRNA:CR46110	1	2	5	1	2	2
asRNA:CR46109	0	0	0	0	0	0
lncRNA:CR46108	22	28	20	20	17	19
asRNA:CR46107	0	0	0	0	0	0
lncRNA:CR46106	0	0	0	0	0	0
asRNA:CR46105	1	0	0	1	1	0
asRNA:CR46104	10	4	5	5	7	8
lncRNA:CR46103	0	0	0	0	0	0
lncRNA:CR46080	0	0	0	0	0	0
lncRNA:CR46079	0	0	0	0	0	0
lncRNA:CR46078	0	0	0	0	0	0
lncRNA:CR46076	0	0	0	0	0	0
lncRNA:CR46077	0	0	0	0	0	0
lncRNA:CR46087	0	0	0	0	0	0
lncRNA:CR46086	0	0	0	0	0	0
lncRNA:CR45991	0	0	0	0	1	0
lncRNA:CR46085	7	7	10	10	6	8
lncRNA:CR46073	2	2	0	0	2	3
lncRNA:CR46233	1	0	0	0	0	0
lncRNA:CR45788	0	0	0	0	0	0
lncRNA:CR46084	2	0	2	1	2	2
lncRNA:CR46083	0	0	0	0	0	0
lncRNA:CR42765	7	14	12	13	15	8
